,name,productUrl,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id
1715,Tooth Paste Dispenser - White & Pink,//www.daraz.pk/products/multicolor-tooth-paste-dispenser-i155068424-s1320452985.html?search=1,Rs. 291,-42%,4.5,2,True,Pakistan,https://static-01.daraz.pk/p/8b74236dac9c124fa1002fc2c5ce3cba.jpg,EFFIS,Billz,1040016
1716,Tooth Paste Dispenser - White & Pink,//www.daraz.pk/products/wall-mounted-tooth-paste-dispenser-white-orange-i155054944-s1320448995.html?search=1,Rs. 329,-34%,5,1,True,Pakistan,https://static-01.daraz.pk/p/8709d09a1fd332bbb7a6e7d444871828.jpg,EFFIS,Billz,1040016
1717,Wall Mounted Bathroom Corner Shelf Suction Cup Plastic Shower Basket Kitchen Wall Rack Shower Room Holder,//www.daraz.pk/products/wall-mounted-bathroom-corner-shelf-suction-cup-plastic-shower-basket-kitchen-wall-rack-shower-room-holder-i154660609-s1319896735.html?search=1,Rs. 495,-17%,5,2,True,Pakistan,https://static-01.daraz.pk/p/55a8813ac92507761f1f92271c8f4164.jpg,A&H Store,A&H Store Karachi,1021925
1718,1 Pcs Silicone Rubber Five-pointed Star Sink Filter Sea Star Drain Cover Sink Strainer Hair Catcher Leakage Filter for Kitchen and Bathroom- Multicolor,//www.daraz.pk/products/1-pcs-silicone-rubber-five-pointed-star-sink-filter-sea-star-drain-cover-sink-strainer-hair-catcher-leakage-filter-for-kitchen-and-bathroom-multicolor-i154500999-s1319658131.html?search=1,Rs. 131,-36%,4,1,True,Pakistan,https://static-01.daraz.pk/p/9bcb0fdead750f2fd2306e9cc795394e.jpg,Zeem Store,Zeem Store,6005010036220
1719,New Multifunctional Toothpaste Dispenser Facial Cleanser Squeezer Clips Manual Lazy Toothpaste Tube Squeezer Press,//www.daraz.pk/products/new-multifunctional-toothpaste-dispenser-facial-cleanser-squeezer-clips-manual-lazy-toothpaste-tube-squeezer-press-i154428792-s1319530918.html?search=1,Rs. 300,-57%,5,1,True,Pakistan,https://static-01.daraz.pk/p/9ff34eab51110e791e3b68fb9b553220.jpg,Value Bazar (Karachi),Value Bazar (Karachi),6005009814065
1720,150Kg Tempered Glass Personal High Accuracy Digital Step-On Technology Body Weight Scale / Machine,//www.daraz.pk/products/150kg-tempered-glass-personal-high-accuracy-digital-step-on-technology-body-weight-scale-machine-i16485695-s1307578050.html?search=1,"Rs. 2,399",-40%,4.79221,77,True,Pakistan,https://static-01.daraz.pk/p/258dc42ea24b5672d3b27433e612c5cb.jpg,Advanced Instrument (Karachi),Advanced Instrument,10526
1721,Pack Of 2 Pcs Body Wash Brush Back Scrubber For Bathing Multi Color,//www.daraz.pk/products/pack-of-2-pcs-body-wash-brush-back-scrubber-for-bathing-multi-color-i137464105-s1297620200.html?search=1,Rs. 284,-37%,5,4,True,Pakistan,https://static-01.daraz.pk/p/79f1e2330b03388224743da49ac32089.png,AnayaCollection,AnayaCollection,1091725
1722,Set of Toothpaste Dispenser & Brush Holder - White,//www.daraz.pk/products/set-of-toothpaste-dispenser-brush-holder-white-i126680502-s1285132841.html?search=1,Rs. 310,-31%,3,2,True,Pakistan,https://static-01.daraz.pk/p/a39024f60beb0bd11ded078791fface9.jpg,FY Store,Art 8 Designs,1103811
1723,Cabinet And Door Holders Hangers Space Utility For Kitchen Bathroom Washroom Colorful White Blue Green Imported China Quality Plastic Waterproof Beautiful Attractive Home Decor Decoration Light Weight Easy To Use Hang,//www.daraz.pk/products/cabinet-and-door-holders-hangers-space-utility-for-kitchen-bathroom-washroom-colorful-white-blue-green-imported-china-quality-plastic-waterproof-beautiful-attractive-home-decor-decoration-light-weight-easy-to-use-hang-i114036433-s1265754745.html?search=1,Rs. 375,-12%,5,2,True,Pakistan,https://static-01.daraz.pk/p/mdc/b7406e207a1f0cff5d4d8a660d91fe3d.jpg,KP HOME DECOR (Karachi),Chinese Style,21100
1724,Imported 100% Accurate Tempered Glass Electronic Digital Body Weight Scale Digital Body Weight Machine Digital Personal Body Weighing Scale Digital Personal Body Weighing Machine Digital Bath Scale Digital Bathroom Scale Portable Weight Scale Machine,//www.daraz.pk/products/imported-100-accurate-tempered-glass-electronic-digital-body-weight-scale-digital-body-weight-machine-digital-personal-body-weighing-scale-digital-personal-body-weighing-machine-digital-bath-scale-digital-bathroom-scale-portable-weight-scale-machine-i129754648-s1289542459.html?search=1,"Rs. 1,499",-6%,4.52632,114,True,Pakistan,https://static-01.daraz.pk/p/fbbf2efe90c3fdf53cbfff9096bb3670.png,Shahriyartraders,Weight Watchers,1066136
1725,Bath Mug Millat (SPRING SERIES) Pack Of 3,//www.daraz.pk/products/bath-mug-millat-spring-series-pack-of-3-i134226911-s1294640086.html?search=1,Rs. 140,,5,18,True,Pakistan,https://static-01.daraz.pk/p/mdc/44c868265d51ac4255c0a8c3d1fc546d.jpg,Millat Plastic Products,Millat Plastic Products,1142943
1726,"Stainless Steel Towel Rod, Towel Holder Wall Mounted, Bathroom Towel Bar Hotel Style Premium Quality With Screws",//www.daraz.pk/products/stainless-steel-towel-rod-towel-holder-wall-mounted-bathroom-towel-bar-hotel-style-premium-quality-with-screws-i146222346-s1308900401.html?search=1,Rs. 329,-18%,5,2,True,Pakistan,https://static-01.daraz.pk/p/d103929a4c2ae9e1d66c0f12bea2d987.jpg,M.M Hardware,M.M Hardware,1016948
1727,Pack of 12 - Egyptian Face Towel,//www.daraz.pk/products/pack-of-12-egyptian-face-towel-i100850675-s1246253084.html?search=1,Rs. 699,-42%,4.28571,14,True,Pakistan,https://static-01.daraz.pk/p/d46975fc7f9c38344b55ec1980942b9d.jpg,SILVER TEXTILE FACTORY (Karachi),BATH AND HOME,5191
1728,180Kg A&D Medical UC-502  Tempered Glass Personal High Accuracy Digital Step-On Technology Body Health Weight Scale / Electronic Weighing Machine,//www.daraz.pk/products/180kg-ad-medical-uc-502-tempered-glass-personal-high-accuracy-digital-step-on-technology-body-health-weight-scale-electronic-weighing-machine-i151876674-s1316220137.html?search=1,"Rs. 2,849",-53%,5,2,True,Pakistan,https://static-01.daraz.pk/p/4daf51edb42f27685cf95832bc242168.jpg,Advance Shopping,A&D Medical,1020018
